student_id,birth_date,state,campus,employment_type,declared_income_monthly,created_at
S000060,2006-02-23,CE,Online,Estágio,1816.8,2024-01-27
S000061,1991-09-05,SC,Campus Sul,Bolsista,492.12,2024-01-17
S000062,2008-06-07,BA,Campus Sul,Estágio,1682.18,2023-12-26
S000063,1992-07-20,RJ,Campus Sul,Estágio,2417.67,2023-04-30
S000064,2004-03-14,PE,Centro,Sem renda,6024.72,2023-11-12
S000065,1996-11-28,BA,Centro,Estágio,1689.21,2022-11-23
S000066,2006-07-28,SP,Centro,Sem renda,3053.76,2023-02-13
S000067,1995-06-10,BA,Centro,Estágio,2691.4,2023-04-02
S000068,2009-11-07,DF,Online,Sem renda,1173.63,2022-05-23
S000069,2001-06-21,RS,Centro,Estágio,3401.54,2023-11-10
S000070,2009-02-09,BA,Online,Sem renda,2817.24,2023-06-28
S000071,2008-02-20,BA,Centro,Estágio,845.5,2023-10-05
S000072,1996-10-17,PR,Online,Estágio,3167.69,2023-01-25
S000073,2001-01-23,RS,Campus Norte,Freelancer,547.11,2023-02-08
S000074,1998-07-03,SC,Campus Norte,Sem renda,2067.95,2023-10-05
S000075,2006-12-10,RS,Centro,CLT,4084.99,2023-10-31
S000076,1997-12-10,RJ,Campus Norte,Estágio,1089.44,2024-02-16
S000077,2004-10-19,SP,Campus Sul,CLT,796.83,2022-01-01
S000078,2000-05-07,DF,Campus Norte,Sem renda,547.39,2023-10-22
S000079,1995-08-15,CE,Centro,Bolsista,1335.89,2022-12-14
S000080,2007-05-17,PR,Campus Sul,Bolsista,1783.73,2022-07-11
S000081,2002-11-10,SC,Centro,Sem renda,1899.0,2022-02-20
S000082,2008-04-16,BA,Campus Sul,Freelancer,5623.13,2024-07-21
S000083,1996-11-19,MG,Centro,Estágio,1435.74,2024-10-09
S000084,1997-04-05,BA,Campus Sul,Estágio,1145.17,2022-08-07
S000085,1996-04-06,SC,Campus Sul,CLT,4015.13,2024-08-09
S000086,2008-09-08,DF,Campus Norte,Freelancer,745.03,2022-10-01
S000087,1995-11-17,SP,Campus Sul,Freelancer,4738.37,2024-06-25
S000088,1993-07-27,RJ,Online,Freelancer,2054.18,2022-11-22
S000089,1994-08-09,RS,Centro,Estágio,576.19,2023-07-22
S000090,1993-08-21,MG,Campus Sul,Freelancer,3308.66,2023-08-09
S000091,2002-05-11,SP,Centro,Sem renda,1909.4,2022-10-11
S000092,2005-04-13,DF,Campus Sul,Estágio,1161.56,2022-05-12
S000093,1996-07-11,MG,Campus Sul,Sem renda,1161.85,2023-02-28
S000094,1996-07-25,PE,Centro,Sem renda,1345.45,2024-02-19
S000095,1994-01-12,CE,Centro,Sem renda,483.37,2024-05-08
S000096,1992-12-24,MG,Centro,Freelancer,3513.13,2023-03-28
S000097,1994-04-09,BA,Campus Sul,CLT,726.13,2023-11-20
S000098,1997-12-06,BA,Campus Norte,Freelancer,1855.55,2024-12-29
S000099,2009-07-19,CE,Centro,Sem renda,579.27,2024-05-27
S000100,2005-08-06,MG,Campus Sul,CLT,1657.35,2023-03-10
S000101,1995-06-11,CE,Campus Norte,CLT,1304.78,2024-05-13
S000102,2001-02-16,RS,Centro,Bolsista,9837.69,2023-12-18
S000103,2002-11-03,SC,Centro,Freelancer,1828.13,2022-03-05
S000104,2002-04-27,SC,Campus Norte,Freelancer,3678.12,2022-09-16
S000105,1994-11-04,SC,Centro,Sem renda,1113.73,2023-06-09
S000106,1998-03-20,BA,Campus Sul,Freelancer,1628.07,2022-08-23
S000107,2004-05-04,CE,Centro,Freelancer,2292.99,2024-02-08
S000108,1997-12-07,PE,Campus Norte,Estágio,3452.43,2023-05-13
S000109,2006-12-25,DF,Centro,Estágio,1676.38,2022-09-05
S000110,1991-01-12,SP,Centro,Estágio,856.74,2022-05-22
S000111,1993-11-11,BA,Campus Norte,Bolsista,3856.9,2024-09-30
S000112,2006-07-12,DF,Campus Sul,Sem renda,1454.77,2022-11-10
S000113,1996-03-24,MG,Campus Norte,Bolsista,1192.96,2024-09-17
S000114,1995-07-27,PE,Centro,Freelancer,720.12,2023-05-18
S000115,2007-05-15,SP,Centro,Estágio,891.3,2024-02-16
S000116,1999-01-16,CE,Campus Sul,CLT,2487.08,2023-03-11
S000117,1998-05-11,PR,Campus Norte,Sem renda,576.39,2023-07-20
S000118,1992-01-17,SC,Online,Estágio,568.62,2024-04-12
S000119,1994-09-25,CE,Centro,Estágio,5719.68,2024-10-02
S000120,1995-01-03,SC,Campus Sul,Sem renda,2045.56,2023-05-14
S000121,2000-11-19,BA,Campus Sul,Sem renda,5455.57,2023-12-06
S000122,1996-12-18,DF,Campus Norte,Estágio,1048.84,2023-07-09
S000123,2000-05-08,SC,Campus Norte,CLT,1974.29,2022-09-02
S000124,1992-12-06,MG,Centro,Estágio,4591.19,2023-07-21
S000125,1991-09-20,SC,Online,Sem renda,791.45,2023-02-02
S000126,2000-04-12,SC,Online,Bolsista,1119.91,2024-12-29
S000127,2005-05-02,SP,Campus Sul,Estágio,1973.06,2022-09-16
S000128,1994-02-28,CE,Centro,CLT,5682.72,2024-09-07
S000129,1995-06-06,SP,Centro,Bolsista,424.65,2024-09-05
S000130,2006-02-13,PR,Campus Norte,Estágio,996.54,2022-04-20
S000131,2005-03-26,SC,Campus Sul,Sem renda,1640.71,2023-05-24
S000132,2006-09-25,DF,Online,Sem renda,1678.81,2023-04-08
S000133,1993-07-15,CE,Campus Norte,CLT,770.68,2024-05-28
S000134,2000-10-20,PE,Centro,Sem renda,2196.28,2022-07-23
S000135,2003-11-07,PR,Campus Sul,Estágio,435.67,2023-05-07
S000136,2004-09-03,SC,Campus Sul,Sem renda,3839.87,2024-08-20
S000137,2000-01-08,SP,Centro,Estágio,2333.11,2024-07-18
S000138,2007-11-08,PR,Campus Norte,Sem renda,3472.91,2023-02-10
S000139,1996-02-18,RJ,Online,Freelancer,631.45,2023-06-29
S000140,2005-02-02,RS,Online,CLT,3620.57,2023-08-15
S000141,1995-02-15,BA,Campus Sul,Freelancer,4666.89,2023-07-12
S000142,1993-09-16,SP,Campus Sul,Sem renda,1854.15,2024-06-03
S000143,1999-10-09,PE,Campus Norte,CLT,6143.72,2022-02-12
S000144,2001-10-02,MG,Campus Norte,CLT,1255.47,2024-11-28
S000145,1995-05-06,PR,Campus Sul,Freelancer,992.84,2024-10-04
S000146,2007-08-12,MG,Campus Sul,Sem renda,2227.35,2022-08-03
S000147,2004-06-14,DF,Online,CLT,2295.85,2024-03-31
S000148,1992-01-15,PR,Campus Sul,CLT,1223.17,2022-08-26
S000149,1997-09-27,CE,Campus Norte,Estágio,2520.77,2024-08-04
S000150,1996-01-07,CE,Campus Sul,Estágio,1396.99,2024-10-17
S000151,1995-01-07,PR,Campus Sul,Estágio,2612.98,2023-08-13
S000152,1995-12-16,PE,Campus Norte,Sem renda,1163.05,2023-05-06
S000153,2004-05-18,BA,Centro,CLT,15247.4,2023-04-06
S000154,2006-08-04,MG,Campus Norte,Estágio,1879.69,2023-08-21
S000155,1993-12-09,RJ,Online,Sem renda,3782.28,2024-08-25
S000156,2002-08-18,SC,Campus Norte,Estágio,423.6,2024-11-06
S000157,2005-02-09,SP,Centro,Estágio,1146.4,2023-11-28
S000158,1993-05-27,RS,Online,Estágio,3158.69,2024-09-29
S000159,2005-08-18,CE,Campus Sul,CLT,1011.63,2024-02-12
S000160,1995-06-28,PE,Centro,Freelancer,1633.02,2024-02-24
S000161,2002-07-02,DF,Centro,Freelancer,1010.71,2024-02-20
S000162,1997-11-26,PE,Centro,Freelancer,764.68,2024-10-11
S000163,2008-03-17,CE,Campus Sul,CLT,1341.06,2022-07-25
S000164,1995-02-17,RS,Campus Norte,Estágio,358.72,2022-10-23
S000165,1996-11-05,PE,Campus Norte,Sem renda,413.01,2023-06-27
S000166,1999-10-23,RJ,Campus Norte,Bolsista,596.01,2023-11-04
S000167,1992-07-11,PR,Online,Freelancer,1628.09,2024-09-26
S000168,1992-01-20,RJ,Centro,Sem renda,2097.03,2023-08-12
S000169,2002-12-03,MG,Centro,Freelancer,322.72,2022-07-25
S000170,1995-03-23,RS,Centro,Bolsista,536.85,2023-10-27
S000171,2008-05-12,SP,Campus Norte,CLT,707.43,2024-12-23
S000172,1996-10-22,RS,Campus Norte,Freelancer,2537.04,2022-06-11
S000173,1997-10-22,PR,Centro,Estágio,1019.2,2022-10-21
S000174,2002-08-21,PE,Online,Estágio,1324.11,2022-01-20
S000175,1995-05-22,SC,Campus Norte,Sem renda,1522.55,2023-12-09
S000176,1991-05-21,SC,Campus Norte,Sem renda,1173.3,2024-07-24
S000177,2000-04-13,SC,Online,Sem renda,1796.06,2024-02-21
S000178,1991-06-19,PE,Campus Norte,Estágio,1718.43,2022-02-14
S000179,1997-05-01,PE,Campus Norte,Sem renda,2191.97,2022-04-11
S000180,1994-05-25,SC,Centro,Sem renda,2399.45,2023-12-23
S000181,2002-11-07,DF,Centro,Sem renda,1407.09,2022-10-08
S000182,2006-11-21,PE,Centro,Freelancer,8000.23,2022-03-10
S000183,1991-06-24,MG,Campus Sul,CLT,2414.77,2023-11-01
S000184,1996-03-07,SP,Centro,CLT,5511.81,2024-01-20
S000185,1993-09-09,SC,Campus Sul,Bolsista,1862.34,2024-09-13
S000186,2000-12-28,BA,Online,Estágio,2499.82,2022-06-04
S000187,2005-04-28,RS,Centro,Sem renda,2164.96,2024-03-24
S000188,1992-06-03,RS,Online,Freelancer,812.19,2022-09-11
S000189,1995-06-22,SC,Centro,Bolsista,1244.8,2024-02-20
S000190,1998-02-22,SC,Centro,Estágio,506.24,2023-11-03
S000191,2002-11-03,PR,Campus Sul,Sem renda,475.97,2023-09-11
S000192,1996-02-05,PE,Centro,CLT,2075.93,2024-10-05
S000193,2006-02-08,RJ,Campus Norte,Estágio,1660.7,2024-07-18
S000194,1998-11-24,SC,Centro,Freelancer,1518.83,2022-11-13
S000195,1996-11-04,PE,Online,Sem renda,615.05,2023-07-27
S000196,2008-12-12,DF,Online,CLT,3725.01,2023-04-29
S000197,1998-02-22,CE,Campus Sul,Freelancer,2636.79,2024-01-05
S000198,2008-07-09,RS,Campus Norte,Freelancer,977.42,2024-07-20
S000199,2007-11-07,DF,Campus Norte,Sem renda,1174.44,2022-02-13
S000200,2008-06-08,PE,Campus Norte,Estágio,3347.66,2023-02-25
S000201,2007-09-07,SP,Online,Sem renda,6609.61,2023-04-23
S000202,1999-03-26,CE,Campus Norte,CLT,545.6,2022-10-24
S000203,2005-09-09,DF,Centro,Estágio,937.62,2022-02-22
S000204,2005-01-12,RJ,Online,Freelancer,658.41,2023-10-26
S000205,2009-03-09,SP,Campus Sul,CLT,4486.59,2024-12-13
S000206,2006-12-03,CE,Campus Norte,Bolsista,1712.07,2024-11-17
S000207,1991-02-15,PE,Campus Sul,CLT,2896.78,2022-03-30
S000208,1993-05-15,RJ,Campus Norte,Estágio,278.57,2024-09-07
S000209,1997-07-22,RS,Campus Norte,Freelancer,5722.48,2024-06-27
S000210,2007-02-11,PE,Campus Sul,Sem renda,166.93,2023-07-18
S000211,1991-09-23,BA,Centro,CLT,3436.94,2024-12-22
S000212,2000-08-17,SP,Campus Sul,CLT,341.18,2022-08-23
S000213,1992-12-28,PE,Campus Sul,Estágio,659.9,2023-04-13
S000214,1996-06-27,PR,Campus Sul,Sem renda,2405.51,2022-07-14
S000215,1999-07-11,PR,Campus Sul,CLT,1344.67,2022-11-09
S000216,1994-02-03,MG,Campus Norte,Estágio,466.27,2022-07-17
S000217,1998-03-18,RJ,Campus Norte,CLT,4692.51,2023-11-07
S000218,2006-07-12,PE,Centro,Estágio,1574.55,2024-05-16
S000219,2008-05-20,PE,Campus Norte,Estágio,1659.16,2024-11-05
S000220,2003-03-22,SC,Campus Sul,Freelancer,752.98,2023-12-19
S000221,1992-06-04,PE,Centro,Estágio,1433.42,2024-05-28
S000222,1992-10-20,RS,Centro,Sem renda,1331.22,2023-07-02
S000223,2009-03-09,BA,Campus Norte,Bolsista,653.03,2023-11-27
S000224,1998-01-06,RS,Centro,Bolsista,4318.13,2024-03-31
S000225,2007-03-24,MG,Centro,Estágio,173.74,2024-12-22
S000226,2003-07-14,CE,Campus Sul,Freelancer,2283.14,2023-10-01
S000227,1999-10-20,RS,Campus Sul,CLT,448.2,2022-11-19
S000228,2008-11-03,SP,Campus Sul,Bolsista,956.43,2024-09-21
S000229,1995-07-09,CE,Campus Sul,CLT,5352.84,2023-12-08
S000230,1996-02-10,RS,Campus Norte,Estágio,2367.86,2024-12-15
S000231,2000-01-08,RJ,Online,Estágio,667.62,2022-01-16
S000232,2003-05-07,DF,Centro,Freelancer,2216.15,2023-08-16
S000233,1999-02-01,PR,Campus Norte,Sem renda,1883.37,2022-09-22
S000234,1997-09-23,BA,Centro,Freelancer,2808.71,2023-12-27
S000235,2007-07-28,SC,Centro,Freelancer,2020.27,2024-07-30
S000236,2007-06-19,SP,Campus Norte,Estágio,444.37,2024-05-05
S000237,2000-02-13,DF,Centro,Estágio,9010.91,2024-07-31
S000238,1998-02-14,PR,Centro,Sem renda,1527.61,2024-03-31
S000239,1993-02-13,PR,Centro,CLT,1591.78,2023-03-30
S000240,1999-03-03,MG,Campus Sul,Estágio,884.03,2024-11-10
S000241,2003-06-12,RJ,Campus Norte,Freelancer,1256.31,2022-10-30
S000242,2002-02-05,SP,Campus Sul,CLT,5791.57,2022-11-10
S000243,2007-03-25,DF,Centro,CLT,1055.4,2024-07-08
S000244,1991-11-21,MG,Campus Norte,Estágio,1569.21,2023-10-10
S000245,2005-08-03,MG,Centro,Estágio,2813.4,2023-07-17
S000246,1991-01-12,CE,Centro,Bolsista,1179.73,2024-07-14
S000247,2008-01-12,PE,Campus Norte,CLT,598.3,2022-07-04
S000248,1993-07-15,PR,Centro,Sem renda,3318.88,2022-03-26
S000249,1995-10-21,DF,Online,Bolsista,1771.74,2024-10-23
S000250,2005-01-15,SP,Centro,Estágio,1325.62,2023-12-05
S000251,2007-09-21,DF,Centro,Estágio,1093.22,2024-06-15
S000252,1995-09-17,PE,Campus Norte,Sem renda,1341.03,2023-08-03
S000253,1997-07-25,RJ,Online,Bolsista,3450.07,2023-11-17
S000254,2007-06-04,PE,Centro,Freelancer,368.02,2023-06-01
S000255,2005-06-03,RJ,Campus Norte,Estágio,1709.25,2023-12-18
S000256,2000-11-23,BA,Campus Sul,CLT,2856.42,2022-06-23
S000257,2000-09-13,PR,Campus Sul,Estágio,2885.68,2022-09-19
S000258,1993-02-21,RJ,Centro,Bolsista,722.66,2022-02-07
S000259,1998-05-06,BA,Online,Estágio,1285.99,2024-09-22
S000260,2003-04-05,RS,Campus Norte,Bolsista,851.94,2022-07-27
S000261,1993-09-27,SC,Campus Norte,Estágio,6827.66,2023-11-21
S000262,2005-10-13,CE,Campus Sul,Estágio,1144.01,2022-12-06
S000263,1995-01-14,SP,Campus Sul,Estágio,1298.41,2024-06-28
S000264,2000-12-26,RS,Campus Sul,CLT,1401.11,2023-09-26
S000265,1994-04-12,SP,Centro,Sem renda,1429.69,2024-06-21
S000266,1995-05-25,SC,Online,Estágio,1006.53,2022-11-28
S000267,2003-10-05,PR,Campus Norte,Sem renda,646.16,2024-09-11
S000268,1998-09-04,RS,Centro,Bolsista,1833.88,2022-09-13
S000269,2000-02-25,PR,Online,Estágio,1918.01,2024-11-17
S000270,2005-07-03,DF,Campus Norte,Estágio,6313.31,2024-07-12
S000271,1998-01-14,PE,Online,Estágio,4358.92,2023-04-28
S000272,1997-02-12,MG,Online,Bolsista,1491.5,2022-07-22
S000273,1999-03-05,DF,Campus Sul,Freelancer,2091.87,2024-08-25
S000274,2005-12-16,MG,Online,Bolsista,2334.98,2022-06-12
S000275,2009-05-07,CE,Campus Norte,Estágio,3831.95,2024-12-16
S000276,1996-02-25,MG,Online,Estágio,4392.85,2022-04-08
S000277,2002-07-21,MG,Campus Sul,Estágio,2205.97,2022-08-16
S000278,1994-10-18,PE,Campus Norte,Freelancer,10391.55,2023-05-11
S000279,2005-05-14,SC,Campus Norte,Estágio,5871.34,2024-05-03
S000280,2004-11-22,SC,Campus Norte,Bolsista,1156.27,2022-05-19
S000281,1993-09-17,MG,Campus Norte,Bolsista,1249.89,2022-02-11
S000282,1997-08-02,SP,Centro,Sem renda,2905.29,2023-06-04
S000283,2009-06-26,PE,Centro,Sem renda,1151.91,2022-08-01
S000284,1991-12-25,CE,Campus Sul,Estágio,315.11,2023-11-25
S000285,2004-11-15,PR,Campus Norte,Bolsista,1821.05,2023-01-09
S000286,2005-02-23,BA,Campus Sul,Bolsista,1499.26,2023-08-24
S000287,2003-01-26,SC,Centro,Estágio,279.91,2023-09-28
S000288,1993-07-27,BA,Centro,Sem renda,2147.86,2023-01-27
S000289,2000-06-28,SP,Campus Norte,Estágio,948.47,2023-11-11
S000290,2001-02-26,MG,Campus Norte,CLT,1780.99,2024-06-19
S000291,1997-06-06,BA,Campus Sul,Estágio,2199.34,2024-11-29
S000292,2001-02-24,SC,Centro,CLT,1679.71,2023-01-05
S000293,1992-05-11,RS,Online,Estágio,1476.6,2023-08-29
S000294,2000-08-20,DF,Campus Norte,Sem renda,1309.54,2024-06-28
S000295,1998-08-02,PE,Campus Norte,CLT,1203.02,2024-06-09
S000296,2001-11-26,SP,Campus Norte,Sem renda,503.29,2024-04-11
S000297,1998-09-26,MG,Campus Sul,Estágio,1537.41,2022-03-05
S000298,2005-10-22,CE,Campus Norte,Bolsista,208.51,2022-05-18
S000299,2002-11-12,RS,Centro,Estágio,2111.28,2022-03-08
S000300,2005-11-15,MG,Campus Norte,Estágio,2248.01,2022-06-07
S000301,1991-03-17,SC,Campus Norte,Bolsista,592.46,2023-07-25
S000302,2002-02-01,RJ,Centro,Estágio,1197.91,2024-03-03
S000303,1992-02-09,CE,Campus Norte,Estágio,2156.69,2023-03-16
S000304,2000-12-16,CE,Campus Sul,CLT,4215.22,2022-06-01
S000305,1995-03-23,RJ,Centro,Sem renda,582.43,2023-10-17
S000306,1998-12-03,DF,Campus Norte,Estágio,3398.31,2023-09-07
S000307,2004-12-23,CE,Centro,Freelancer,746.68,2024-01-11
S000308,1993-04-04,PR,Campus Norte,Freelancer,2283.33,2023-04-30
S000309,1994-01-12,PE,Campus Norte,Freelancer,1925.71,2022-09-23
S000310,2007-02-10,RJ,Campus Sul,Estágio,1599.63,2024-09-07
S000311,1993-07-25,CE,Centro,CLT,2007.55,2022-09-14
S000312,1999-11-03,PE,Campus Sul,Estágio,2128.94,2023-12-07
S000313,2005-09-21,PR,Campus Norte,Estágio,3740.11,2022-09-22
S000314,1996-09-28,SP,Campus Norte,Freelancer,9277.17,2022-11-10
S000315,2000-03-06,SP,Campus Norte,CLT,1262.55,2023-12-10
S000316,1993-05-28,DF,Online,Estágio,2955.19,2023-07-17
S000317,2005-11-10,RJ,Centro,Sem renda,432.54,2022-12-12
S000318,1991-10-05,PR,Campus Norte,Bolsista,1407.09,2023-11-23
S000319,1991-01-27,CE,Centro,Freelancer,600.48,2023-06-27
S000320,2003-10-14,BA,Centro,Sem renda,507.82,2023-08-17
S000321,2000-08-08,PR,Campus Sul,Freelancer,1467.22,2023-09-02
S000322,1995-02-23,DF,Campus Sul,Freelancer,11816.66,2024-09-18
S000323,1995-04-11,BA,Centro,CLT,1388.44,2023-10-16
S000324,1998-07-05,RS,Campus Sul,Freelancer,5377.67,2022-08-06
S000325,1999-04-15,SC,Online,Sem renda,1614.22,2022-10-16
S000326,2006-01-10,PR,Centro,Freelancer,5314.79,2024-05-06
S000327,2002-03-27,MG,Campus Sul,Estágio,1485.37,2023-10-03
S000328,2003-03-16,SP,Campus Sul,Estágio,1077.3,2023-09-24
S000329,1994-01-03,SC,Campus Norte,Sem renda,2732.8,2023-05-09
S000330,2003-10-12,RS,Campus Sul,CLT,9255.75,2024-08-21
S000331,2000-09-01,MG,Campus Sul,CLT,692.98,2023-06-26
S000332,1998-07-12,RJ,Campus Sul,Sem renda,4304.53,2023-02-03
S000333,1998-09-10,BA,Centro,Freelancer,2342.04,2023-07-27
S000334,2006-03-04,RJ,Campus Norte,Bolsista,687.45,2023-11-26
S000335,1992-06-25,MG,Centro,Freelancer,1258.95,2024-04-02
S000336,1993-01-02,RJ,Centro,Freelancer,12287.47,2024-08-28
S000337,1993-08-05,CE,Centro,Estágio,2206.1,2023-11-03
S000338,1999-03-13,CE,Campus Sul,CLT,1334.3,2023-09-05
S000339,1991-06-17,SP,Campus Norte,Freelancer,2009.93,2023-09-06
S000340,1994-01-12,SP,Centro,Estágio,1559.68,2024-05-03
S000341,1991-05-26,BA,Campus Norte,Sem renda,695.24,2022-02-24
S000342,1994-05-21,DF,Campus Norte,Estágio,1408.36,2023-04-12
S000343,2008-10-16,CE,Centro,CLT,694.98,2024-02-18
S000344,2005-11-08,PR,Centro,Freelancer,4524.67,2022-08-14
S000345,2003-01-15,SC,Campus Norte,Estágio,2158.35,2023-02-22
S000346,1996-09-25,PE,Centro,Sem renda,500.38,2022-05-08
S000347,2005-09-07,RS,Online,Freelancer,1572.81,2024-09-06
S000348,1993-07-11,SP,Online,Freelancer,1602.83,2024-12-27
S000349,1999-09-12,SC,Campus Sul,Estágio,4203.47,2023-06-26
S000350,1994-04-08,RJ,Campus Sul,CLT,2501.22,2023-09-02
S000351,2000-12-07,BA,Online,Estágio,2832.47,2024-09-09
S000352,1998-09-26,RS,Centro,CLT,332.64,2024-02-17
S000353,1997-06-25,RS,Campus Norte,Estágio,976.37,2023-08-13
S000354,2007-06-15,SP,Online,Sem renda,2331.69,2023-03-15
S000355,2003-09-09,PR,Campus Norte,Sem renda,1473.1,2022-10-09
S000356,2006-10-24,DF,Centro,Sem renda,1843.81,2024-12-23
S000357,2002-11-08,RJ,Campus Norte,CLT,9724.41,2024-08-25
S000358,2006-11-25,PE,Campus Norte,Freelancer,1937.57,2022-11-20
S000359,1996-11-16,SP,Online,Sem renda,2324.6,2023-08-12
S000360,1999-05-21,DF,Centro,CLT,3053.7,2023-04-21
S000361,1992-12-24,PR,Campus Norte,CLT,635.91,2022-12-25
S000362,1996-03-02,SC,Centro,Bolsista,1314.12,2024-10-11
S000363,2004-12-28,RS,Centro,Freelancer,3205.92,2022-01-19
S000364,2000-10-20,RJ,Campus Sul,Bolsista,2396.65,2023-08-06
S000365,1995-11-18,MG,Centro,Sem renda,1372.3,2022-10-02
S000366,1993-08-09,SC,Centro,Estágio,2755.89,2022-11-29
S000367,1995-11-09,BA,Campus Sul,Estágio,134.69,2023-11-22
S000368,2000-10-22,SP,Centro,Freelancer,2949.14,2024-04-10
S000369,1996-09-11,MG,Campus Norte,CLT,2096.66,2023-01-14
S000370,2005-08-11,SC,Campus Sul,Sem renda,229.69,2024-02-25
S000371,2002-08-25,PR,Campus Sul,Sem renda,667.23,2022-01-24
S000372,2001-11-12,BA,Campus Sul,CLT,449.32,2022-08-31
S000373,1995-05-06,SC,Centro,Sem renda,2483.47,2023-09-29
S000374,2006-11-10,RS,Online,Estágio,1909.61,2022-10-01
S000375,1994-03-15,RJ,Campus Sul,Bolsista,2027.83,2024-05-01
S000376,1992-08-25,MG,Centro,Freelancer,888.45,2023-03-24
S000377,2002-11-25,RJ,Campus Norte,Freelancer,1946.74,2024-12-12
S000378,1995-09-23,BA,Campus Sul,Sem renda,1577.32,2022-08-18
S000379,2008-09-17,BA,Campus Norte,Sem renda,2757.05,2022-12-03
