application_id,student_id,application_date,requested_amount,installments,purpose,has_guarantor,rent_expense,other_debts,channel
A000074,S001264,2024-10-22,853.19,18,Transporte,1,1600.0,649.77,WhatsApp
A000075,S001623,2024-10-12,1192.93,24,Notebook,0,1600.0,0.0,Agência
A000076,S001664,2024-10-04,1339.91,12,Moradia,0,1600.0,361.07,WhatsApp
A000077,S001632,2024-02-28,4125.98,9,Transporte,0,950.0,244.81,App
A000078,S000631,2024-11-15,1120.34,6,Intercâmbio,1,0.0,320.14,App
A000079,S001020,2024-10-15,1907.27,9,Curso,0,700.0,1153.28,App
A000080,S001051,2024-06-19,2536.15,12,Intercâmbio,1,2200.0,696.91,App
A000081,S000291,2024-03-28,5525.72,18,Transporte,1,400.0,167.73,App
A000082,S001511,2024-12-16,4550.38,6,Taxas/Documentos,0,400.0,179.37,App
A000083,S000872,2024-06-24,1365.53,9,Curso,1,400.0,676.58,WhatsApp
A000084,S000728,2024-05-22,4253.54,9,Taxas/Documentos,0,700.0,0.0,App
A000085,S001618,2024-04-24,3336.64,18,Intercâmbio,1,700.0,658.27,WhatsApp
A000086,S001067,2024-05-15,4436.99,12,Intercâmbio,0,950.0,348.07,Agência
A000087,S000546,2024-12-03,4160.7,24,Moradia,0,1200.0,365.38,WhatsApp
A000088,S000823,2024-08-08,800.39,9,Transporte,0,950.0,462.74,Web
A000089,S001421,2024-07-06,1200.01,18,Transporte,1,1600.0,0.0,App
A000090,S000001,2024-10-23,2339.6,12,Intercâmbio,0,1600.0,242.76,Web
A000091,S001217,2024-07-03,1318.5,18,Taxas/Documentos,0,700.0,192.87,App
A000092,S000307,2024-04-23,2762.32,9,Taxas/Documentos,0,400.0,403.34,App
A000093,S001056,2024-11-24,2141.42,9,Intercâmbio,1,400.0,614.42,App
A000094,S000476,2024-12-17,1081.77,18,Notebook,1,1200.0,3139.28,Agência
A000095,S001134,2024-03-22,2502.59,6,Curso,0,400.0,539.21,App
A000096,S001327,2024-11-03,9178.57,3,Saúde,0,950.0,93.51,Agência
A000097,S001003,2024-12-30,1934.93,9,Moradia,1,1600.0,931.63,App
A000098,S000389,2024-05-07,1667.39,12,Moradia,1,950.0,495.27,App
A000099,S001493,2024-04-25,1215.95,12,Moradia,0,950.0,2020.46,App
A000100,S000074,2024-07-31,1340.59,18,Notebook,1,700.0,827.77,Agência
A000101,S000877,2024-07-24,5224.97,18,Curso,1,950.0,538.57,App
A000102,S000917,2024-04-25,1721.06,18,Notebook,0,2200.0,0.0,App
A000103,S001364,2024-09-07,7289.76,9,Transporte,1,1600.0,389.11,App
A000104,S001367,2024-02-25,1298.96,6,Transporte,0,2200.0,706.09,Web
A000105,S000157,2024-09-07,785.68,6,Intercâmbio,0,700.0,432.56,Web
A000106,S000144,2024-06-04,3176.4,9,Intercâmbio,0,2200.0,52.46,App
A000107,S001696,2024-09-08,2515.67,12,Taxas/Documentos,0,700.0,0.0,App
A000108,S001387,2024-03-02,1210.32,6,Intercâmbio,0,2200.0,183.08,Agência
A000109,S001414,2024-07-20,2004.36,9,Curso,0,1200.0,441.39,App
A000110,S001108,2024-08-03,1613.87,12,Taxas/Documentos,0,700.0,0.0,App
A000111,S001526,2024-10-20,1095.83,12,Saúde,0,400.0,256.74,App
A000112,S001678,2024-07-01,3409.15,18,Moradia,0,1200.0,387.78,Agência
A000113,S001320,2024-10-07,3069.59,24,Notebook,0,400.0,1073.76,App
A000114,S000495,2024-05-31,2218.1,24,Intercâmbio,1,1600.0,0.0,App
A000115,S001654,2024-10-28,2462.63,12,Intercâmbio,1,700.0,0.0,App
A000116,S000619,2024-06-30,5459.29,3,Saúde,1,400.0,0.0,WhatsApp
A000117,S000131,2024-05-04,7689.63,9,Transporte,1,700.0,869.12,App
A000118,S000338,2024-07-10,3195.06,24,Saúde,0,950.0,528.21,Web
A000119,S000727,2024-05-25,7050.37,6,Intercâmbio,0,400.0,160.84,App
A000120,S001683,2024-09-04,734.35,9,Moradia,0,700.0,0.0,Web
A000121,S000835,2025-01-05,1228.85,18,Curso,0,950.0,443.7,App
A000122,S000011,2024-05-05,3001.7,18,Taxas/Documentos,1,700.0,145.76,App
A000123,S000457,2024-03-19,3036.64,24,Taxas/Documentos,1,1200.0,701.43,App
A000124,S001020,2025-01-02,720.77,12,Curso,0,700.0,878.4,Agência
A000125,S000275,2024-03-26,2414.51,12,Intercâmbio,0,1200.0,382.68,Web
A000126,S000242,2024-04-30,2186.78,12,Taxas/Documentos,0,400.0,841.98,App
A000127,S001095,2024-06-06,2510.41,3,Transporte,1,950.0,880.91,App
A000128,S000057,2024-07-15,5007.49,18,Notebook,0,400.0,212.62,App
A000129,S000152,2024-09-20,3245.96,18,Taxas/Documentos,0,950.0,926.94,Web
A000130,S000176,2024-07-30,1345.42,12,Saúde,0,950.0,0.0,Web
A000131,S001313,2024-06-15,4856.12,3,Transporte,0,0.0,467.75,App
A000132,S000942,2024-12-17,2554.21,6,Moradia,0,1600.0,495.37,Web
A000133,S001178,2024-02-27,1635.61,3,Taxas/Documentos,0,950.0,507.96,Web
A000134,S001451,2024-04-12,5408.49,9,Intercâmbio,0,950.0,0.0,App
A000135,S000499,2024-05-22,5410.18,9,Saúde,0,700.0,0.0,WhatsApp
A000136,S000073,2024-09-22,814.26,6,Saúde,1,700.0,0.0,Agência
A000137,S001182,2025-01-28,4592.96,18,Curso,0,1600.0,93.57,Web
A000138,S000923,2024-10-21,2518.43,12,Transporte,0,2200.0,288.19,App
A000139,S001079,2024-06-16,1158.16,6,Curso,0,0.0,366.88,App
A000140,S000405,2024-12-26,3006.38,24,Intercâmbio,1,700.0,691.09,App
A000141,S000790,2024-06-20,1437.62,24,Curso,1,2200.0,0.0,App
A000142,S000666,2024-12-09,2194.85,12,Taxas/Documentos,0,0.0,350.48,Web
A000143,S000664,2024-05-16,1616.46,6,Curso,1,1200.0,0.0,App
A000144,S001773,2024-05-17,3786.99,9,Saúde,1,400.0,637.82,WhatsApp
A000145,S000509,2024-02-06,2809.53,9,Moradia,1,950.0,478.78,Web
A000146,S000086,2024-02-04,1714.33,9,Moradia,1,400.0,214.79,App
A000147,S000558,2024-08-14,3383.82,9,Saúde,1,0.0,250.47,Agência
A000148,S001368,2024-04-18,2119.73,12,Intercâmbio,0,2200.0,0.0,App
A000149,S000483,2024-12-30,3026.77,6,Notebook,0,950.0,0.0,App
A000150,S000362,2024-12-27,2374.53,6,Moradia,0,950.0,353.6,App
A000151,S001703,2024-04-02,2102.03,6,Curso,1,950.0,1868.35,Web
A000152,S000258,2024-12-19,1297.25,12,Curso,1,1600.0,622.2,Web
A000153,S001647,2024-06-27,1312.66,18,Moradia,0,1600.0,0.0,Web
A000154,S000025,2024-03-27,2270.24,3,Taxas/Documentos,1,1600.0,155.01,App
A000155,S000184,2024-07-26,887.88,18,Taxas/Documentos,0,700.0,0.0,Web
A000156,S000275,2025-01-05,873.11,9,Moradia,1,400.0,1450.91,Web
A000157,S001480,2024-11-01,3343.79,24,Moradia,0,950.0,643.65,WhatsApp
A000158,S001014,2024-06-29,1569.88,9,Notebook,0,950.0,0.0,App
A000159,S000201,2024-07-28,5283.71,6,Intercâmbio,1,0.0,0.0,Web
A000160,S000853,2024-12-30,1481.09,12,Transporte,1,950.0,172.64,App
A000161,S000485,2024-10-10,1717.97,18,Notebook,1,1200.0,816.38,WhatsApp
A000162,S000077,2025-01-19,1857.74,9,Notebook,1,700.0,208.43,App
A000163,S000483,2024-10-01,6219.07,3,Curso,0,400.0,0.0,App
A000164,S000400,2024-09-21,4771.12,6,Taxas/Documentos,0,950.0,149.21,WhatsApp
A000165,S001442,2024-06-10,1930.16,12,Transporte,0,950.0,0.0,WhatsApp
A000166,S000484,2024-06-02,2177.78,12,Moradia,1,1200.0,252.34,App
A000167,S001762,2024-06-14,3120.09,18,Taxas/Documentos,0,950.0,372.01,WhatsApp
A000168,S000877,2024-04-05,2287.42,18,Taxas/Documentos,0,950.0,0.0,Web
A000169,S000313,2025-01-29,1592.92,18,Moradia,0,1200.0,118.71,Web
A000170,S000616,2024-08-26,875.49,9,Curso,0,950.0,232.4,App
A000171,S000793,2024-12-09,886.44,24,Notebook,1,1600.0,1994.66,App
A000172,S000998,2024-11-22,7817.75,12,Moradia,0,950.0,460.97,WhatsApp
A000173,S000003,2024-03-18,8232.32,12,Notebook,1,1200.0,99.79,App
A000174,S001324,2024-03-27,2285.73,6,Moradia,0,0.0,497.42,App
A000175,S001243,2024-11-11,2279.98,3,Taxas/Documentos,0,700.0,374.09,App
A000176,S000202,2024-07-02,6607.31,12,Notebook,1,950.0,131.79,App
A000177,S000198,2024-08-08,3195.09,12,Taxas/Documentos,0,950.0,517.73,App
A000178,S001275,2024-07-02,4444.65,9,Moradia,1,2200.0,0.0,Agência
A000179,S000117,2024-10-18,2812.17,6,Notebook,1,950.0,14.08,Agência
A000180,S001240,2024-07-21,6174.4,12,Moradia,0,950.0,748.7,App
A000181,S000891,2024-06-08,2290.77,6,Notebook,1,700.0,0.0,Web
A000182,S000792,2024-06-18,1337.43,6,Taxas/Documentos,0,400.0,0.0,App
A000183,S001373,2024-07-10,1339.66,3,Curso,0,700.0,592.48,Web
A000184,S000774,2024-11-16,6245.51,3,Curso,1,1600.0,16.9,Agência
A000185,S001689,2024-09-24,1402.57,9,Moradia,0,1200.0,1173.77,App
A000186,S000739,2024-03-06,2788.3,18,Saúde,0,1600.0,246.92,WhatsApp
A000187,S000329,2024-02-09,4151.37,9,Taxas/Documentos,0,400.0,512.32,Web
A000188,S000093,2025-01-23,2259.29,12,Intercâmbio,0,950.0,243.48,App
A000189,S000672,2024-12-10,2143.27,3,Taxas/Documentos,0,0.0,721.26,App
A000190,S000054,2024-02-13,901.77,3,Taxas/Documentos,0,950.0,202.75,Web
A000191,S001289,2024-02-14,825.69,18,Curso,0,1200.0,0.0,App
A000192,S000989,2024-11-30,2392.05,18,Transporte,0,950.0,0.0,App
A000193,S001471,2024-04-28,3296.18,6,Transporte,0,400.0,0.0,App
A000194,S000048,2024-03-27,1359.61,9,Saúde,1,0.0,306.77,Agência
A000195,S000941,2024-05-05,1968.12,9,Intercâmbio,0,950.0,345.44,Web
A000196,S000087,2024-05-24,1478.23,9,Taxas/Documentos,0,950.0,319.66,App
A000197,S000524,2024-02-13,1458.5,9,Transporte,1,700.0,10.73,Web
A000198,S001061,2024-07-02,2485.47,6,Curso,0,0.0,0.0,App
A000199,S001772,2025-01-10,3023.99,18,Taxas/Documentos,0,0.0,279.63,App
A000200,S001227,2024-08-03,6193.35,12,Taxas/Documentos,1,1200.0,1260.89,Web
A000201,S000949,2024-10-20,1869.62,12,Saúde,0,700.0,81.92,App
A000202,S000973,2024-03-28,1694.72,6,Taxas/Documentos,1,950.0,1006.95,App
A000203,S001371,2024-09-16,3343.16,12,Moradia,0,700.0,932.55,Web
A000204,S000306,2025-01-25,2166.59,18,Saúde,1,700.0,223.36,App
A000205,S000936,2024-10-10,3377.67,6,Transporte,0,2200.0,0.0,WhatsApp
A000206,S000204,2024-08-18,2690.36,9,Curso,1,950.0,0.0,Agência
A000207,S001507,2024-09-15,2002.04,12,Saúde,0,950.0,2249.82,Agência
A000208,S000956,2024-10-12,3288.49,12,Transporte,0,1200.0,0.0,App
A000209,S001053,2024-11-30,4091.4,6,Saúde,0,950.0,745.49,App
A000210,S000737,2025-01-15,834.79,12,Saúde,0,400.0,571.22,App
A000211,S000745,2024-04-24,1591.58,12,Notebook,0,950.0,279.45,App
A000212,S000658,2024-06-06,2209.45,9,Taxas/Documentos,0,950.0,0.0,Agência
A000213,S001657,2024-12-22,866.08,9,Curso,1,700.0,619.98,App
A000214,S001510,2024-07-24,3166.76,18,Transporte,0,700.0,300.52,Web
A000215,S000246,2024-03-25,4645.39,12,Curso,0,1600.0,574.52,App
A000216,S000598,2024-02-28,1243.02,18,Intercâmbio,1,700.0,885.13,App
A000217,S000592,2024-10-10,903.98,12,Transporte,1,2200.0,510.16,App
A000218,S000261,2024-05-31,1126.95,24,Moradia,0,0.0,550.19,App
A000219,S000005,2024-10-20,1286.66,12,Moradia,1,950.0,494.62,App
A000220,S000603,2024-08-26,4149.07,18,Transporte,1,2200.0,0.0,Web
A000221,S001497,2024-06-14,1678.56,6,Intercâmbio,0,950.0,0.0,App
A000222,S001332,2024-07-02,2551.62,9,Saúde,1,400.0,556.76,App
A000223,S000615,2024-08-04,5533.49,12,Curso,1,1600.0,1068.66,App
A000224,S001529,2025-01-19,1173.08,9,Notebook,1,950.0,29.32,App
A000225,S000103,2025-01-12,2181.23,9,Transporte,1,700.0,326.06,App
A000226,S000782,2024-06-07,2082.29,9,Moradia,1,700.0,58.38,App
A000227,S001600,2025-01-24,3889.87,18,Taxas/Documentos,0,950.0,871.8,App
A000228,S000995,2024-02-25,1362.84,12,Notebook,0,1600.0,417.42,App
A000229,S000207,2024-08-01,3399.33,9,Moradia,1,700.0,235.8,App
A000230,S000035,2024-02-01,2285.95,12,Saúde,0,1200.0,337.9,App
A000231,S001778,2024-11-20,1882.54,12,Taxas/Documentos,0,1200.0,1124.27,App
A000232,S000696,2024-07-20,1633.75,12,Moradia,1,950.0,468.97,App
A000233,S000557,2024-12-18,1681.21,9,Saúde,1,1200.0,547.72,Web
A000234,S000657,2025-01-04,5069.84,24,Taxas/Documentos,0,950.0,96.11,App
A000235,S001322,2024-12-05,3886.65,9,Intercâmbio,0,1200.0,83.84,Web
A000236,S000797,2024-10-05,796.75,9,Saúde,0,950.0,521.9,App
A000237,S000095,2024-06-10,5540.89,3,Taxas/Documentos,0,1200.0,0.0,App
A000238,S000971,2024-10-15,1803.53,12,Intercâmbio,0,400.0,0.0,WhatsApp
A000239,S000127,2024-07-31,2350.08,24,Notebook,0,700.0,362.18,WhatsApp
A000240,S001762,2024-05-31,1276.14,9,Curso,0,700.0,0.0,WhatsApp
A000241,S000641,2024-03-22,4628.51,9,Intercâmbio,0,1600.0,0.0,App
A000242,S001688,2024-06-21,5852.87,12,Saúde,0,400.0,701.83,App
A000243,S000631,2024-05-04,2781.45,3,Notebook,0,1200.0,489.49,Agência
A000244,S000938,2024-06-14,2126.71,9,Moradia,1,950.0,42.43,App
A000245,S001300,2024-02-28,2706.98,6,Taxas/Documentos,0,400.0,855.47,WhatsApp
A000246,S000255,2024-05-01,1715.64,24,Intercâmbio,1,700.0,100.58,App
A000247,S001208,2024-06-03,1117.2,3,Curso,0,400.0,47.91,App
A000248,S001290,2024-11-21,895.69,3,Saúde,0,0.0,275.62,App
A000249,S000502,2024-05-26,3420.37,12,Taxas/Documentos,1,700.0,0.0,Web
A000250,S000613,2024-03-24,1943.74,9,Moradia,0,950.0,1795.12,WhatsApp
A000251,S000253,2024-07-27,2698.38,12,Moradia,1,950.0,0.0,App
A000252,S000611,2024-10-24,3300.54,12,Curso,0,400.0,590.94,App
A000253,S000085,2024-12-20,1393.89,9,Intercâmbio,0,950.0,13.12,Web
A000254,S000590,2024-08-21,7284.62,9,Moradia,1,1200.0,869.29,App
A000255,S000737,2024-07-06,5747.09,18,Saúde,1,1600.0,268.93,Web
A000256,S001300,2024-02-11,722.4,6,Moradia,1,0.0,894.08,App
A000257,S001271,2024-09-11,7177.43,12,Taxas/Documentos,0,400.0,525.28,App
A000258,S000405,2024-04-04,4565.43,18,Moradia,0,1600.0,445.15,WhatsApp
A000259,S000851,2024-02-28,9071.32,18,Moradia,1,700.0,470.49,App
A000260,S000766,2024-10-10,4574.06,18,Moradia,1,700.0,182.65,App
A000261,S000921,2024-11-21,1891.51,18,Moradia,0,950.0,661.49,App
A000262,S000082,2024-07-22,1283.25,12,Moradia,1,1200.0,280.29,App
A000263,S001306,2024-09-01,3146.9,12,Moradia,0,1200.0,688.74,Web
A000264,S000382,2024-05-09,801.49,6,Notebook,0,1600.0,2.01,Web
A000265,S000166,2024-12-17,7085.79,24,Notebook,1,700.0,355.72,App
A000266,S001606,2025-01-23,2702.83,18,Curso,0,1200.0,434.86,App
A000267,S000319,2024-02-24,2052.65,6,Intercâmbio,0,950.0,294.12,App
A000268,S001138,2025-01-15,1527.21,12,Curso,0,950.0,724.63,App
A000269,S000084,2024-10-08,1198.69,6,Intercâmbio,1,400.0,290.56,Web
A000270,S000966,2024-11-07,2868.86,9,Moradia,0,400.0,0.0,App
A000271,S000054,2024-09-16,2058.1,9,Notebook,1,700.0,382.44,Web
A000272,S001518,2024-11-13,6425.03,18,Saúde,0,950.0,627.55,Web
A000273,S001232,2024-10-22,2222.65,24,Intercâmbio,0,1200.0,496.62,WhatsApp
A000274,S000193,2025-01-19,1188.23,24,Intercâmbio,1,950.0,0.0,Web
A000275,S000826,2024-09-19,1479.18,12,Curso,1,700.0,121.11,WhatsApp
A000276,S000023,2024-09-01,2258.23,12,Intercâmbio,1,0.0,42.09,Agência
A000277,S001766,2024-09-08,2638.44,18,Transporte,1,400.0,167.64,Web
A000278,S001044,2024-07-02,1426.2,12,Taxas/Documentos,1,700.0,436.42,App
A000279,S000410,2024-03-17,1687.31,9,Moradia,0,2200.0,352.84,App
A000280,S000888,2024-12-02,2335.76,6,Intercâmbio,0,1600.0,0.0,App
A000281,S001112,2024-10-30,1988.63,24,Transporte,0,1200.0,833.31,WhatsApp
A000282,S000136,2024-10-09,912.6,6,Intercâmbio,0,1600.0,279.86,App
A000283,S000288,2024-12-07,6552.35,3,Saúde,0,400.0,81.05,App
A000284,S001529,2024-06-17,1667.32,12,Notebook,0,1200.0,2955.54,App
A000285,S000112,2024-05-13,6209.05,6,Transporte,1,1600.0,316.34,App
A000286,S001221,2024-08-11,1284.95,9,Saúde,0,1200.0,0.0,App
A000287,S001274,2024-10-24,1316.5,24,Curso,1,700.0,959.79,Web
A000288,S000544,2024-06-05,4557.54,9,Transporte,0,700.0,146.13,Web
A000289,S001056,2024-06-07,2368.13,6,Taxas/Documentos,1,1200.0,598.57,Web
A000290,S001214,2024-05-20,6453.93,6,Moradia,0,0.0,341.31,Agência
A000291,S001756,2024-08-07,4792.77,9,Intercâmbio,1,700.0,98.36,Web
A000292,S001478,2024-03-18,2744.56,18,Taxas/Documentos,0,700.0,0.0,Agência
A000293,S001678,2024-05-29,2793.15,12,Intercâmbio,0,1600.0,34.45,Web
A000294,S001365,2024-10-24,1663.16,6,Intercâmbio,0,950.0,854.86,WhatsApp
A000295,S000577,2024-04-19,2991.42,12,Notebook,0,0.0,117.73,App
A000296,S001773,2024-05-15,2005.62,6,Notebook,0,1200.0,0.0,App
A000297,S000374,2024-02-19,2266.36,9,Notebook,0,950.0,560.43,WhatsApp
A000298,S000333,2024-12-08,1265.58,12,Saúde,1,1200.0,1000.41,App
A000299,S000278,2024-11-01,2770.03,12,Transporte,0,1200.0,780.6,App
A000300,S001766,2024-03-28,2521.62,3,Notebook,1,2200.0,0.0,Web
A000301,S001006,2024-07-31,1485.14,6,Saúde,0,1600.0,47.71,App
A000302,S000663,2024-08-05,2078.2,6,Saúde,0,1200.0,0.0,Agência
A000303,S000725,2024-03-20,3310.37,12,Notebook,0,950.0,1167.96,Web
A000304,S001282,2025-01-26,7332.22,12,Transporte,0,2200.0,421.23,App
A000305,S000956,2024-08-11,2819.32,12,Saúde,1,0.0,871.4,App
A000306,S001783,2024-04-22,4426.03,12,Intercâmbio,0,0.0,0.0,App
A000307,S000791,2024-04-11,2953.77,9,Curso,0,950.0,180.05,WhatsApp
A000308,S000606,2024-08-29,6647.84,12,Moradia,0,0.0,608.63,Agência
A000309,S001013,2025-01-27,2729.44,18,Intercâmbio,1,950.0,481.14,App
A000310,S000007,2024-12-19,4429.98,12,Taxas/Documentos,0,700.0,0.0,Agência
A000311,S001572,2024-03-16,787.36,9,Transporte,0,400.0,178.88,App
A000312,S000033,2024-02-28,2083.24,18,Taxas/Documentos,0,0.0,0.0,App
A000313,S001294,2024-12-26,9127.65,9,Taxas/Documentos,1,400.0,0.0,App
A000314,S001776,2024-06-21,1583.07,6,Taxas/Documentos,0,700.0,87.59,Web
A000315,S001266,2024-07-14,3611.12,18,Taxas/Documentos,0,950.0,764.75,App
A000316,S001345,2024-06-12,1407.31,12,Curso,0,1600.0,670.93,App
A000317,S001731,2024-10-27,3186.83,24,Taxas/Documentos,0,950.0,98.47,App
A000318,S001214,2024-08-26,1609.51,24,Transporte,0,700.0,0.0,Web
A000319,S000545,2024-04-17,4200.88,9,Saúde,0,700.0,900.45,Agência
A000320,S001007,2024-05-20,1228.04,6,Transporte,0,700.0,1354.36,WhatsApp
A000321,S000185,2024-11-26,1553.81,12,Intercâmbio,1,400.0,0.0,Agência
A000322,S000144,2024-05-29,5128.84,12,Saúde,0,0.0,1971.48,App
A000323,S000905,2024-08-02,4065.34,24,Taxas/Documentos,0,700.0,1309.05,App
A000324,S000840,2024-05-25,1190.47,18,Notebook,0,950.0,0.0,Web
A000325,S000427,2024-06-11,3341.78,12,Curso,1,2200.0,438.02,App
A000326,S000393,2024-11-06,3353.35,18,Transporte,0,0.0,802.95,App
A000327,S001134,2024-12-13,1130.19,18,Notebook,0,700.0,35.71,Web
A000328,S000124,2024-02-16,1405.89,12,Moradia,1,950.0,516.78,WhatsApp
A000329,S000051,2024-05-01,2230.67,12,Transporte,0,700.0,322.41,App
A000330,S000046,2024-03-08,2485.25,3,Saúde,1,1200.0,0.0,App
A000331,S001646,2024-09-24,1947.62,3,Taxas/Documentos,0,0.0,631.2,WhatsApp
A000332,S000770,2024-08-18,1540.79,6,Saúde,1,950.0,608.26,App
A000333,S000815,2024-04-09,1616.8,6,Moradia,0,1200.0,0.0,WhatsApp
A000334,S000765,2024-08-08,2089.9,6,Intercâmbio,0,1200.0,373.05,App
